N,P,K,temperature,humidity,ph,rainfall,label
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
?,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize
85,53,18,21.41853967,64.21251106,6.301360356,83.63273869,maize
72,39,22,27.84260327,75.73593567,6.012587785,66.23957043,maize
78,46,20,25.71902982,63.88167153,6.733753338,97.44384915,maize
88,42,18,20.88210754,59.58337785,6.785657443,97.71210238,maize
76,56,21,22.37535446,68.64877675,5.439762236,85.89046222,maize
67,43,23,20.70141961,73.18924514,6.125474514,72.79366297,maize
74,57,24,24.40910202,58.60296687,6.620707692,61.43733631,maize
?,47,21,24.96343459,61.82744834,5.809534305,72.52814318,maize
83,55,22,23.89644649,60.01876504,5.94650535,106.8682939,maize
68,37,20,26.39268888,63.14828556,5.879030815,104.5650122,maize
75,40,22,22.84276314,70.14401146,5.852125528,65.16417863,maize
79,48,23,24.96343459,63.93282618,5.83468757,82.23813208,maize
65,52,21,21.88243328,62.32047436,6.511337823,103.5617485,maize
86,59,17,23.19130677,71.05070755,6.556292561,82.65371962,maize
95,50,22,24.02574415,63.81785032,5.927741312,99.62262363,maize
71,46,16,23.06774402,60.67772379,5.797574155,76.03069742,maize
92,45,19,23.12964812,68.66546966,6.63983771,83.04132468,maize
64,55,23,22.84276314,59.30388946,6.802854796,81.9294769,maize
82,39,18,22.96443459,72.35477334,5.913664501,94.81211244,maize
87,58,21,25.07323802,59.48893659,6.011935201,88.29730829,maize
74,42,22,19.97215954,62.04841592,6.360809724,108.3387851,maize
89,45,20,23.19130677,68.11598127,6.228187876,62.65464097,maize
77,53,18,25.25728515,60.27891361,6.583054685,101.3464007,maize
63,57,24,26.80847656,63.68905305,6.07712994,74.3226655,maize
70,47,17,22.37535446,71.48121818,6.677756845,84.11259951,maize
96,41,19,21.77689322,62.43227901,6.195278177,70.2952292,maize
69,46,24,27.41531719,64.98249788,6.764504638,71.92997278,maize
84,51,21,23.38057633,67.50319793,6.755177995,108.009531,maize
72,54,18,22.96443459,64.57912351,6.877136073,91.15090387,maize
81,44,23,24.70949337,66.57388979,6.050661616,63.79176171,maize
79,48,16,23.19130677,68.41013483,5.931897777,94.69215228,maize
66,50,17,24.58864944,73.28719258,6.595408064,104.3658934,maize
?,49,22,21.41853967,63.05773418,6.300057772,81.18408477,maize
85,43,23,24.83451348,74.27318379,5.85000476,92.92005166,maize
75,37,21,26.10018422,70.56735056,6.234364899,86.04833469,maize
68,52,19,22.88482118,58.77548239,6.533981467,94.69215228,maize
94,41,18,22.84276314,72.22979749,6.713428588,92.92005166,maize
?,59,20,25.01289771,73.13265446,6.511337823,65.32419547,maize
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,chickpea
58,?,84,20.6543203,16.60820843,6.231049028,74.6631118,chickpea
59,?,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
65,71,82,19.72363219,16.29592756,6.879489431,85.26262119,chickpea
41,55,83,19.53900085,18.06743418,7.972743028,94.10692046,chickpea
54,68,78,18.55918904,15.78192412,8.519408199,87.68163472,chickpea
29,70,79,19.80670134,17.27417111,7.137242161,78.83733546,chickpea
37,59,80,17.88776475,17.42917067,8.264180648,92.03822126,chickpea
63,64,81,20.74586571,19.69032437,7.299773674,73.85008897,chickpea
31,67,83,17.88776475,16.53273766,8.51807569,91.60772434,chickpea
51,61,82,20.07877659,15.40815076,7.850677201,70.92383146,chickpea
48,57,76,18.27661839,17.89017929,7.454435649,79.96347464,chickpea
33,69,79,20.53569443,17.75593712,6.426571997,93.24144316,chickpea
44,62,84,17.72123537,15.15640643,7.736179693,87.4278921,chickpea
47,65,78,19.63075363,19.0113806,8.332421242,94.86941728,chickpea
30,72,82,18.56088243,19.05500413,8.489474433,72.31409589,chickpea
55,54,77,17.72123537,16.2195427,6.34730008,73.07998741,chickpea
49,68,81,20.74586571,19.84350487,7.788771096,86.94692721,chickpea
64,73,85,20.86753717,19.18447307,6.158078135,70.54747383,chickpea
46,63,84,19.91473405,16.70838132,8.062560123,79.06272651,chickpea
38,70,83,18.56088243,16.86080478,7.611208168,94.20415489,chickpea
40,67,78,19.99509702,15.77604966,7.360426086,87.48026767,chickpea
57,61,77,18.27517359,17.08312597,8.18936762,81.50934316,chickpea
34,69,80,20.66056449,19.39892368,6.694778112,74.69782426,chickpea
52,55,82,19.16590166,15.84717388,7.497589508,81.66041162,chickpea
60,58,82,18.56088243,18.68726979,6.875579366,89.05220394,chickpea
35,64,79,19.80294704,18.62636485,7.874514775,86.28732985,chickpea
45,59,78,19.07657312,19.34940339,6.945106301,93.15955668,chickpea
53,60,77,20.6211085,17.30050843,7.432997424,87.0715383,chickpea
26,73,83,19.08601792,19.72853631,8.089233606,73.34371173,chickpea
37,56,82,17.72123537,15.77604966,7.987763292,82.35659889,chickpea
31,72,83,20.17637806,19.19021636,6.647058238,77.21747968,chickpea
50,62,85,20.66056449,17.42652597,7.988417582,84.8996822,chickpea
29,71,78,18.91299335,18.29093636,7.729173075,91.18696539,chickpea
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans
26,65,22,17.84806561,18.77621951,5.949949081,143.0984171,kidneybeans
17,57,21,19.88394011,20.31564139,5.789214289,60.91974792,kidneybeans
26,80,?,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans
17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,kidneybeans
27,59,22,21.81167649,23.20591245,5.794158504,130.0608093,kidneybeans
28,58,24,19.72702528,18.28173015,5.748190463,143.7630894,kidneybeans
25,57,19,17.15432954,?,5.566522896,87.99669731,kidneybeans
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans
12,78,23,16.06522754,18.72479695,5.99812453,88.06638775,kidneybeans
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,kidneybeans
35,72,18,20.87743233,22.4591846,5.829699314,121.7730098,kidneybeans
8,63,21,17.37607593,20.66357288,5.940171845,137.6122757,kidneybeans
32,70,22,20.41256408,21.66713603,5.719930943,92.2231236,kidneybeans
15,69,19,18.62241377,23.99952279,5.67779632,128.6907624,kidneybeans
27,76,18,20.63200529,19.81039552,5.798056365,112.1553317,kidneybeans
18,61,20,19.81139044,21.7997793,5.615468505,101.4886942,kidneybeans
31,74,21,18.23408687,19.6886486,5.740104684,99.27486202,kidneybeans
20,73,24,21.21484824,22.11176764,5.984280047,72.49743967,kidneybeans
28,75,20,18.97952577,22.01485816,5.684764015,134.8577641,kidneybeans
11,62,23,19.62983256,20.91318597,5.736898639,113.2459748,kidneybeans
7,70,25,20.07543777,23.1432289,5.822858132,71.39673105,kidneybeans
23,68,17,20.07374438,21.09531734,5.831184773,132.4434809,kidneybeans
26,79,18,17.99864722,22.29910088,5.903657189,121.4215803,kidneybeans
14,69,21,19.44132167,24.0819046,5.639141739,80.86908621,kidneybeans
9,64,22,18.62241377,20.26493413,5.993447021,111.5983934,kidneybeans
36,77,25,20.8063282,23.04861511,5.778922922,89.94485542,kidneybeans
21,78,17,21.55595592,24.07021121,5.978651854,101.8497507,kidneybeans
29,71,20,17.59537815,21.16814068,5.679819681,128.6944561,kidneybeans
33,74,22,19.95103295,24.13280053,5.968924943,71.38940475,kidneybeans
19,57,23,17.72292876,20.23901047,5.9099638,103.8568444,kidneybeans
24,68,18,19.06678682,23.03433128,5.634805246,137.7744743,kidneybeans
30,65,19,18.23408687,22.81637462,5.772048424,117.3125638,kidneybeans
16,60,24,21.03203995,23.3002187,5.931303176,132.8602315,kidneybeans
29,62,18,19.87977965,24.20706529,5.766080383,123.7759199,kidneybeans
37,75,19,19.38553272,19.82613906,5.963511613,114.7000804,kidneybeans
34,67,23,17.47233044,23.48775477,5.87566717,76.23816991,kidneybeans
25,64,20,18.73917885,24.25373091,5.636151536,98.95821231,kidneybeans
13,73,21,20.07813116,20.58385076,5.889958317,91.48292301,kidneybeans
5,63,24,19.57082029,20.58385076,5.745686496,133.0155033,kidneybeans
31,76,17,17.47183705,22.4591846,5.763124354,140.2700678,kidneybeans
20,78,20,20.46301149,22.81637462,5.799402295,97.64718083,kidneybeans
38,55,19,33.18184225,38.23184742,5.864623352,198.8298806,pigeonpeas
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,pigeonpeas
16,56,17,33.80020039,40.03262418,7.445444883,176.6165894,pigeonpeas
31,72,17,28.69180475,49.47225353,5.833031708,96.36222901,pigeonpeas
16,80,20,31.24021696,56.67369054,7.339320929,122.0146733,pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
?,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,pigeonpeas
26,67,24,36.97794384,37.73992903,5.642813116,161.4812963,pigeonpeas
22,55,22,34.98273172,42.43822131,6.758290718,147.9278035,pigeonpeas
37,59,18,31.13065054,61.79478823,5.459796898,103.6757381,pigeonpeas
12,64,21,29.96694402,52.41618927,5.988065757,132.1382672,pigeonpeas
29,75,23,35.79367173,60.50943943,6.728051305,149.7087697,pigeonpeas
25,71,17,32.48974752,54.28150194,7.092427631,130.6755832,pigeonpeas
18,58,20,30.98716114,57.58176509,6.495964468,117.5732152,pigeonpeas
30,69,22,34.5419213,55.19302769,5.864623352,158.702986,pigeonpeas
38,62,17,28.33619823,50.92486892,6.293573823,91.28799527,pigeonpeas
19,63,19,30.56133776,42.88801804,6.118270546,99.5623178,pigeonpeas
24,57,18,26.31557599,39.02539623,5.724802766,110.1541313,pigeonpeas
35,72,23,33.46649337,61.14709688,5.559891874,139.5823157,pigeonpeas
27,67,21,29.38538562,49.90988236,5.633466419,89.82593184,pigeonpeas
14,59,24,36.54113152,63.07809819,5.93701171,107.245053,pigeonpeas
21,64,17,31.52674435,55.15577265,6.12838422,121.356237,pigeonpeas
28,61,22,32.21333217,65.25850167,5.579335604,126.4913257,pigeonpeas
36,63,16,25.59862956,44.64135153,5.748829926,111.9462371,pigeonpeas
23,56,19,29.11311599,53.23702871,5.864623352,95.32057849,pigeonpeas
32,70,22,30.98860594,57.17331841,7.082734722,114.3197806,pigeonpeas
17,58,18,26.79076343,42.43822131,6.335139692,117.812832,pigeonpeas
26,75,17,29.10755462,61.28380294,5.654102185,132.9531056,pigeonpeas
31,69,20,27.83514677,38.0349809,5.926676985,138.2287701,pigeonpeas
33,59,21,28.98039357,50.25954552,5.864623352,148.2272565,pigeonpeas
39,68,23,32.87821407,46.68677286,5.933373625,85.82658744,pigeonpeas
20,67,17,31.67982772,42.32006302,5.558858127,147.065565,pigeonpeas
29,65,18,29.8252814,63.54590873,6.178936844,122.2440141,pigeonpeas
37,60,23,34.76998695,45.32079503,5.699748048,126.2549029,pigeonpeas
24,56,20,25.90508174,50.13018894,5.774411305,108.8260294,pigeonpeas
10,63,19,30.65592212,44.9671306,6.050058865,86.4440143,pigeonpeas
34,74,17,29.52869985,44.17418968,5.71844433,102.227506,pigeonpeas
15,66,22,34.44831013,52.6835237,6.016732238,111.2208777,pigeonpeas
25,59,16,27.03205807,48.43902947,5.662601523,95.77328567,pigeonpeas
22,64,20,26.85675546,45.46274019,5.632127879,82.071134,pigeonpeas
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,mothbeans
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,mothbeans
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,mothbeans
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,mothbeans
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans
24,38,22,24.47876451,58.51663927,8.202706015,34.96933295,mothbeans
23,?,21,31.46511256,51.79939437,8.985348193,74.44330654,mothbeans
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,mothbeans
31,35,23,30.30260453,47.18283631,7.707595055,68.04039813,mothbeans
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,mothbeans
7,?,22,25.50634557,44.8302551,9.926212291,74.32635105,mothbeans
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,mothbeans
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,mothbeans
21,53,19,29.78367964,56.25568871,7.500707407,58.93789184,mothbeans
36,47,20,29.1289433,45.76555593,6.799777626,41.14560234,mothbeans
10,41,18,27.27105875,53.74901523,8.210557245,59.24891525,mothbeans
33,50,21,28.31388719,47.34728719,5.345363882,32.66152639,mothbeans
14,46,24,27.36320254,44.09560465,5.941380547,58.71846897,mothbeans
19,49,17,30.4566971,46.64658681,8.270646182,52.61996465,mothbeans
27,42,23,32.39069631,54.23341643,7.4135749,73.98623515,mothbeans
30,55,16,25.9925881,52.57619809,8.379719637,41.85431662,mothbeans
22,48,22,31.51224906,57.03259026,7.106779723,69.48470232,mothbeans
16,52,20,30.04919093,48.93584424,8.513858168,33.28980867,mothbeans
35,39,18,27.65521526,52.65170273,8.828656436,39.19232473,mothbeans
28,45,23,26.1052434,46.32443212,6.413156493,51.74449164,mothbeans
20,51,17,28.19512687,50.23411857,8.240434916,74.00782764,mothbeans
38,40,20,25.39778147,51.41099957,9.590956215,50.9897159,mothbeans
24,48,18,29.88338484,55.26940558,5.964005979,42.41115933,mothbeans
29,42,24,26.22888371,55.15577265,9.248231772,32.16126586,mothbeans
33,55,22,30.46085817,52.7813162,7.497333841,37.38314316,mothbeans
16,46,25,26.97008462,43.6713917,5.65900586,48.42183447,mothbeans
19,47,16,26.76244163,48.50340744,5.997423553,62.23911368,mothbeans
12,44,17,25.40530965,49.22170409,9.517688745,66.16139438,mothbeans
31,49,20,29.63152003,43.9799705,5.76005519,53.60938899,mothbeans
25,50,23,27.93600598,46.35217143,9.236016191,40.91501048,mothbeans
18,39,21,28.77829742,50.52499833,5.511785949,65.43198166,mothbeans
22,41,19,30.30309883,49.83618193,6.315089417,74.61963482,mothbeans
14,56,22,32.41835318,57.39500384,5.412020804,55.62336068,mothbeans
28,52,25,26.74489167,46.14601416,7.227874019,33.79828616,mothbeans
23,47,18,29.77953689,57.08963607,5.389249171,48.57337639,mothbeans
37,43,21,25.82130312,51.16100739,7.906321395,45.4195948,mothbeans
30,54,19,29.96575931,56.07099829,7.470368939,34.11911025,mothbeans
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407,mungbean
36,55,20,27.01470397,84.34262707,6.635968698,55.296354,mungbean
10,56,16,28.17432665,81.04554836,6.828187499,36.35720652,mungbean
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,mungbean
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,mungbean
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,mungbean
0,49,?,29.68361658,87.93598094,6.990095452,41.82490236,mungbean
21,39,20,28.14448546,82.1193047,7.064782138,46.75690086,mungbean
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,mungbean
1,50,18,28.983241,88.4172598,6.753987722,45.32533897,mungbean
13,48,19,27.3205783,85.72794639,7.046128548,37.03543024,mungbean
27,54,21,29.28719789,80.65484318,6.826033243,50.29900734,mungbean
7,46,20,28.98374073,89.23820516,6.481016717,38.44081246,mungbean
15,38,23,29.04800469,87.62072676,6.613270236,41.0317471,mungbean
25,41,22,27.96768279,84.22686184,7.020716084,46.34293509,mungbean
19,49,17,29.18238154,82.98719505,6.543992779,43.82128719,mungbean
12,47,16,28.38615446,86.19350432,6.782524769,55.98790148,mungbean
5,53,18,27.67887632,84.95494041,6.892632937,42.47850765,mungbean
33,43,21,28.86219394,87.79889772,6.340965743,51.31203001,mungbean
16,40,19,27.99469333,88.28202828,6.954198367,35.09329212,mungbean
30,45,24,27.91687637,82.53506529,7.088738556,50.23020605,mungbean
22,44,17,28.90766969,84.38370009,6.993496111,48.43494904,mungbean
26,48,22,27.74826886,81.9368604,6.712873945,49.67949715,mungbean
9,50,25,27.99992937,86.54416931,6.558801788,46.93666604,mungbean
14,36,20,28.42825856,87.36344733,7.210682198,47.40926427,mungbean
35,42,16,27.78656539,83.89031794,7.137711985,58.63142496,mungbean
18,47,19,27.95058228,87.27294251,6.808266053,55.89208869,mungbean
23,37,23,27.16118811,88.83698835,6.933004776,46.93493344,mungbean
29,38,22,28.21524535,84.00509544,6.725586079,37.45089252,mungbean
6,39,18,28.52637991,80.78389225,6.702126401,48.25822152,mungbean
11,41,20,28.98324791,86.468983,7.109625966,44.54040893,mungbean
32,44,23,28.82764779,82.87715349,7.046303615,38.87436712,mungbean
24,45,17,29.09196377,84.54819264,6.958573092,37.20485563,mungbean
20,46,21,28.69377242,81.55675302,6.676859876,56.42577354,mungbean
28,52,19,29.39967764,88.1208433,6.471387773,40.4199544,mungbean
15,54,22,27.29529803,87.13024018,6.675260428,57.27913984,mungbean
7,48,17,28.89256693,83.67219117,6.619041335,37.73053045,mungbean
21,49,25,29.17434848,81.2299966,6.753058939,56.15740779,mungbean
10,51,18,28.64136835,84.94879415,6.890015785,49.13709684,mungbean
16,53,20,28.43507252,88.10433501,7.016267678,57.31205646,mungbean
33,42,24,27.95134436,87.79630906,6.443997381,55.10316131,mungbean
13,43,19,27.75585721,81.67925882,7.003383669,42.89195494,mungbean
27,55,17,27.52010044,82.76868263,7.1167431,47.50280361,mungbean
4,57,22,28.08429987,87.57478082,7.189407838,45.39483556,mungbean
3,58,23,28.32969772,85.11663715,6.481095221,55.87881145,mungbean
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,blackgram
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram
44,58,?,28.03644051,65.06601664,6.814410928,72.49507741,blackgram
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,blackgram
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,blackgram
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,blackgram
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram
10,60,18,29.27530917,67.95849207,7.312735692,65.91745308,blackgram
42,68,19,32.96183746,64.24875821,7.064330231,68.33042252,blackgram
38,70,23,31.70008624,66.74839284,6.822183405,70.87409423,blackgram
48,61,17,27.84571314,66.73285546,7.672028383,61.83023501,blackgram
30,67,24,26.97501195,63.48068874,6.723796625,66.49134369,blackgram
36,75,17,28.28398455,61.59051714,7.31814099,72.7785781,blackgram
29,69,22,33.71746254,61.47310696,7.143661021,70.39722548,blackgram
47,71,20,31.00578862,65.21691629,7.487647352,65.89145014,blackgram
15,64,21,32.5436841,61.82855327,7.39579378,66.58989326,blackgram
24,65,23,31.29987863,68.45291126,7.319849992,70.78437836,blackgram
40,78,24,28.77392429,62.18162617,6.580764635,73.20614284,blackgram
19,68,18,32.71652433,65.79861626,7.693507875,68.430837,blackgram
27,63,20,26.91021493,66.83664525,7.576138772,61.40827807,blackgram
33,76,17,29.97583033,61.95009006,7.258046322,63.85091456,blackgram
51,70,25,32.2687888,64.87502804,7.013975868,69.86224268,blackgram
41,66,16,28.69745895,67.8347795,6.897940597,73.69543043,blackgram
37,73,20,26.54650914,61.48398244,7.111436978,70.43814711,blackgram
22,58,24,29.14669545,68.22091803,7.276377053,66.44182027,blackgram
14,65,23,27.83261411,67.59793018,7.002210785,64.15904358,blackgram
21,67,16,31.24025919,65.86207799,7.465464012,69.49562063,blackgram
31,72,19,30.46444213,64.92579178,7.622134222,68.88775084,blackgram
38,63,22,27.92857364,65.08620968,6.909802008,61.50338149,blackgram
47,65,20,32.50912335,63.15224326,7.748345045,67.37068315,blackgram
12,69,18,30.97436582,64.77309863,6.589604968,71.94548544,blackgram
26,60,17,27.76435607,63.1091756,7.096959881,64.29243885,blackgram
28,71,25,33.18306202,67.23577242,7.284788586,62.43131852,blackgram
29,74,16,28.42124317,66.13989332,6.981341555,73.40623151,blackgram
34,75,21,29.74794639,66.42793749,7.437432268,63.86294862,blackgram
23,59,22,33.0192978,68.12322358,6.744803155,72.68258932,blackgram
32,69,19,27.3386746,61.76301456,6.874472313,61.77675222,blackgram
20,67,23,29.54249018,66.03834849,7.11619423,67.09818023,blackgram
13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,lentil
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil
11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,lentil
37,71,16,26.28663931,68.51966729,7.324863481,46.13833007,lentil
29,71,?,22.17499963,62.13873825,6.410441476,53.46622584,lentil
2,72,?,26.57597546,60.97876599,7.836719564,50.89110726,lentil
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,lentil
8,58,17,28.75273118,69.15640149,7.286049978,35.15426171,lentil
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,lentil
2,75,22,23.89271875,61.78779413,6.658605362,52.55730112,lentil
3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,lentil
27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,lentil
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil
40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,lentil
10,70,18,25.98645742,65.38289147,7.214960893,44.92860137,lentil
14,68,16,20.67961137,61.29574584,6.909316916,42.24590692,lentil
26,73,22,24.58973412,67.36284328,6.773319335,47.18990754,lentil
23,75,21,21.43830527,62.96645096,7.564070031,45.94222044,lentil
5,62,19,27.1642893,63.27243011,6.438324637,49.41704497,lentil
36,79,23,29.76359052,64.74842756,7.376631317,39.48448973,lentil
22,76,20,22.61946935,66.02837052,7.630185531,43.79824578,lentil
18,67,17,25.76835451,61.90901885,7.213835762,47.13507625,lentil
31,71,25,24.83756629,62.27190746,7.380635555,37.48773802,lentil
32,69,19,23.98090355,61.34503239,7.522207108,42.42548322,lentil
